author,binding,category,depth,height,isbn10,isbn13,language,noOfPages,price,publisher,publisherDate,returnable,subTitle,title,url,weight,width
NA, Paperback,Home::General,, 203 mm, 9390441617, 9789390441617, English, 208,₹193, Srishti Publishers & Distributors,,,,I Wish I Could Tell Her (Order Now To Get A Signed Copy),https://www.bookswagon.com/book/wish-i-could-tell-her/9789390441617, 231 gr,
Ladybird (COR), HARDCOVER,Home::General, 22, 177 mm, 0241243254, 9780241243251, English, 12,₹239, Penguin Books Ltd, 01 Aug 2016, Y, Baby Touch First Focus,Faces: Baby Touch First Focus,https://www.bookswagon.com/book/faces-cor-ladybird/9780241243251, 166 gr, 174 mm
Dreamland Publications, Paper Back,Home::Children & Teens,, 220 mm, 938717798X, 9789387177987, English, 64,₹120, Dreamland Publications, 2019,,,STEM Activity Book Maths,https://www.bookswagon.com/book/stem-activity-book-maths-dreamland/9789387177987, 280 gr, 280 mm
 Rabindranath Tagore, Paperback,Home::Literature & literary studies::Literature: history & criticism::Literary studies: general,, 1.0 mm, 938653830X, 9789386538307, English, 144,₹77, Fingerprint! Publishing, 01 Dec 2017, Y, Pocket Classics,Gitanjali (Pocket Classics),https://www.bookswagon.com/book/gitanjali-pocket-classics-rabindranath-tagore/9789386538307, 110 gr, 10.2 mm
Rupa Publications, Paperback,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military",, 203 mm, 9353338336, 9789353338336, English, 200,₹117, Rupa Publications India, 20 Mar 2021, N,,Jail Diary of Bhagat Singh,https://www.bookswagon.com/book/jail-diary-bhagat-singh-rupa/9789353338336, 222 gr, 127 mm
Neeraj Chandra Choudhary, Paperback,Home::General,,, 9384761176, 9789384761172, Hindi,,₹108, Jain Books Agency, 2015,,,Lucent'S Samanya Vigyan (General Science In Hindi),https://www.bookswagon.com/book/lucents-samanya-vigyan-general-science/9789384761172,,
Namita Thapar, Paperback,Home::Business & Economics::Business & management,, 198 mm, 0143458973, 9780143458975, English, 256,₹239, Penguin Random House India Pvt. Ltd, 10 Oct 2022, Y, Stories on Entrepreneurship,Dolphin and the Shark,https://www.bookswagon.com/book/dolphin-shark-namita-thapar/9780143458975, 700 gr, 129 mm
Emily Winfield Martin, Hardback,Home::General,, 251 mm, 0241446953, 9780241446959,, 32,₹364, Penguin Random House Children's UK, 10 Jun 2020,,,The Wonderful Things You Will Be,https://www.bookswagon.com/book/wonderful-things-you-be-emily/9780241446959, 460 gr, 264 mm
R.M. Lala, Paperback,Home::Biographies & Memoirs::Biography: general,, 214 mm, 0140169016, 9780140169010, English, 460,₹253, Penguin Books Ltd, 30 Mar 2003, Y,,Beyond the Last Blue Mountain,https://www.bookswagon.com/book/beyond-last-blue-mountain-rm/9780140169010, 376 gr, 134 mm
Yung Pueblo, Paperback,"Home::Parenting, Family & Health::Body, Mind & Spirit",, 216 mm, 1846047137, 9781846047138, English,,₹489, Ebury Publishing, 04 Oct 2022,,,Lighter,https://www.bookswagon.com/book/lighter-yung-pueblo/9781846047138, 296 gr, 135 mm
Pushpalatha K, Paper Back,Home::Medicine::Pre-clinical medicine: basic sciences::Anatomy,, 273 mm, 9389034973, 9789389034974, English, 414,₹846, Jaypee-The Health Science Publisher, 2019,,,Inderbir Singh's Textbook of Human Histology With Colour Atlas and Practical Guide,https://www.bookswagon.com/book/inderbir-singhs-textbook-human-histology/9789389034974, 110 gr, 210 mm
Ranjit Desai, Paperback,Home::History & Humanities::History,, 229 mm, 9352774396, 9789352774395, English, 592,₹519, HarperPerennial, 20-Dec-17, N, The Great Maratha,Shivaji,https://www.bookswagon.com/book/shivaji-desai-ranjit/9789352774395, 856 gr, 152 mm
Quentin Tarantino, Hardback,"Home::Art & Photography::Film, tv & radio::Films, cinema::Film theory & criticism",, 240 mm, 1474624227, 9781474624220,, 400,₹620, Orion Publishing Co, 01 Nov 2022,,,Cinema Speculation,https://www.bookswagon.com/book/cinema-speculation-quentin-tarantino/9781474624220, 724 gr, 156 mm
Frank Herbert, Paperback,Home::Fiction::Science fiction, 51, 191 mm, 0441172717, 9780441172719, English, 896,₹364, Ace Books, 01 Sep 1990, Y,,Dune,https://www.bookswagon.com/book/dune-frank-herbert/9780441172719, 476 gr, 107 mm
Reema Thareja, Paperback,Home::Computer & Internet::Computer programming / software development::Programming & scripting languages: general,, 242 mm, 0199480176, 9780199480173, English, 560,₹504, Oxford University Press, 01 Oct 2019, Y, Using Problem Solving Approach,Python Programming,https://www.bookswagon.com/book/python-programming-thareja-department-computer/9780199480173, 747 gr, 187 mm
Yasmin Boland, Other merchandize,"Home::Parenting, Family & Health::Body, Mind & Spirit::Fortune-telling & divination::Astrology",, 140 mm, 1781809968, 9781781809969, English, 0,"₹1,000", Hay House UK Ltd, 25 Sep 2018, Y, A 44-Card Deck and Guidebook,Moonology Oracle Cards,https://www.bookswagon.com/book/moonology-oracle-cards-yasmin-boland/9781781809969, 326 gr, 99 mm
Ashneer Grover, HARDBACK,Home::Biographies & Memoirs::Biography: general::Biography: business & industry,, 222 mm, 067009711X, 9780670097111, ENGLISH, 256,₹364,, 07 May 2023, Y, The Hard Truth about Life and Start-Ups,Doglapan,https://www.bookswagon.com/book/doglapan-ashneer-grover/9780670097111,, 138 mm
Wonder House Books, Wall Chart,Home::General,, 0.1 mm, 9390391180, 9789390391189, English, 1,₹105, Wonder House Books, 12 Oct 2020,,,"Wild Animals - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery And Homeschooling (19 Inches X 29 Inches)",https://www.bookswagon.com/book/wild-animals-my-first-early/9789390391189, 90 gr, 48.3 mm
Om Books Editorial Team, Paperback,Home::General,, 46.999906 mm, 9353764750, 9789353764753, English, 320,₹725, Om Books International, 01 Jan 2021,,,Pre-School Activities Pack ( Collection of 10 books) (Smart Scholars),https://www.bookswagon.com/book/preschool-activities-pack-collection-10/9789353764753,, 253.999492 mm
 Ruskin Bond, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya),, 196 mm, 0143451936, 9780143451938, English, 232,₹205, Puffin, 21 May 2021, Y," Classic Collection of 25+ Most-Loved, Great Stories by Famous Award-Winning Author (Illustrated, Must-Read Fiction Short Stories for Kids)",All-Time Favourites for Children,https://www.bookswagon.com/book/alltime-favourites-children-bond-ruskin/9780143451938, 272 gr, 130 mm
Dr. Joe Dispenza, Paperback,Home::General,,, 9381431264, 9789381431269, English, 256,₹425, Hay House, 06 Jan 2012,,,"Breaking the Habit of being yourself: How
to Lose Your Mind and Create a New One",https://www.bookswagon.com/book/breaking-habit-being-yourself-dr/9789381431269,,
Peter Sykes, Paperback,Home::General,,, 8131793559, 9788131793558, English, 660,₹385, Pearson Education, 2013,,,A Guidebook to Mechanism in Organic Chemistry for the JEE,https://www.bookswagon.com/book/guidebook-mechanism-in-organic-chemistry/9788131793558, 634 gr,
Dreamland Publications, Paperback,Home::General,,, 8195163211, 9788195163212, English, 10,₹120, Dreamland Publications, 2021,,,Flap Book- Dinosaur World,https://www.bookswagon.com/book/flap-book-dinosaur-world-dreamland/9788195163212,, 0.3 mm
Wonder House Books, Board book,Home::Society & social sciences::Education::Schools::Pre-school & kindergarten,, 24 mm, 9354401287, 9789354401282, English, 16,₹332, Wonder House Books, 12 Aug 2021, Y, Learn and Trace Words,My Big Wipe And Clean Book of Three Letter Words for Kids : Learn And Trace Words,https://www.bookswagon.com/book/my-big-wipe-clean-book/9789354401282,, 225 mm
Sandeep Das, Paperback,Home::Business & Economics::Business & management::Management & management techniques,, 216 mm, 0143461958, 9780143461951, English, 284,₹303, Penguin Random House India Pvt. Ltd, 08 Aug 2023, Y, Increase Your Influence and Impact,How Business Storytelling Works,https://www.bookswagon.com/book/how-business-storytelling-works-sandeep/9780143461951,, 140 mm
Rachna Bisht Rawat, Hardback,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military",,, 0670097195, 9780670097197, English, 304,₹425, Penguin Random House India Pvt. Ltd, 08 Aug 2023, Y, The Man Behind the Uniform,Bipin,https://www.bookswagon.com/book/bipin-rachna-bisht-rawat/9780670097197,,
Wonder House Books, Paperback,Home::General,, 0.2 mm, 9388369335, 9789388369336, Hindi, 32,₹77, Wonder House Books, 20 Apr 2019, Y, Hindi Writing Practice Book for Kids,Meri Pratham Hindi Sulekh Maatra Gyaan: Hindi Writing Practice Book for Kids,https://www.bookswagon.com/book/meri-pratham-hindi-sulekh-maatra/9789388369336, 700 gr, 21.5 mm
RPH Editorial Board, Paperback,Home::General,, 47 mm, 9354771394, 9789354771392, English, 176,₹108, RPH Editorial Board, 11 Feb 2022,,,NMMS: Previous Years' Paper (Solved) - Class 8th,https://www.bookswagon.com/book/nmms-rph-editorial-board/9789354771392, 250 gr, 254 mm
 Kahlil Gibran, Paperback,Home::Fiction::Modern & contemporary fiction,, 129 mm, 817234354X, 9788172343545, English, 128,₹77, Prakash Books, 21 Sep 2010, Y,,The prophet,https://www.bookswagon.com/book/prophet-kahlil-gibran/9788172343545, 122 gr, 197 mm
PAULO COELHO, Hardcover,Home::Fiction::Modern & contemporary fiction,, 39.99992 mm, 0670095206, 9780670095209, English, 160,₹239, Penguin Random House India, 10 Nov 2020,,,The Archer,https://www.bookswagon.com/book/archer-coelho-paulo/9780670095209, 110 gr, 139.99972 mm
Daniel Gordis, Paperback,Home::Fiction::Historical fiction,, 216 mm, 9355212003, 9789355212009, Hindi, 424,₹366, Repro Books Limited, 11 Nov 2022, N, A Concise History of A Nation Reborn),Israel (Hindi Translation of Israel,https://www.bookswagon.com/book/hindi-translation-israel-daniel-gordis/9789355212009, 535 gr, 140 mm
Ernest Hemingway , Paperback,Home::Fiction::Modern & contemporary fiction, 8, 178 mm, 0099908409, 9780099908401, ENGLISH, 112,₹90, Cornerstone, 04 Jan 1994, Y,,The Old Man and the Sea,https://www.bookswagon.com/book/old-man-sea-ernest-hemingway/9780099908401, 68 gr, 112 mm
Dreamland Publications, Paperback,Home::General,, 280 mm, 9350897903, 9789350897904,, 32,₹90, Dreamland Publications, Aug-2016,,,Extreme Copy Colour - MANDALA,https://www.bookswagon.com/book/extreme-copy-colour-mandala-dreamland/9789350897904, 130 gr, 280 mm
"Irani, Smriti Zubin", Paperback,Home::General,, 210 mm, 9391234631, 9789391234638, English, 256,₹303, Westland, 29 Nov 2021,,,Lal Salaam: A Novel,https://www.bookswagon.com/book/lal-salaam-irani-smriti-zubin/9789391234638,, 25 mm
SHASHI THAROOR, Hardback,Home::Society & social sciences::Politics & Current Events,, 216 mm, 938306465X, 9789383064656, English, 360,₹620, Aleph Book Company, 11 Jan 2016, N,,Era of Darkness,https://www.bookswagon.com/book/era-darkness-shashi-tharoor/9789383064656, 589 gr, 140 mm
Mark Douglas, HARDBACK,Home::Business & Economics::Finance & accounting::Finance::Investment & securities, 25, 235 mm, 0735201447, 9780735201446, ENGLISH, 240,"₹3,112",, 01 Jan 2001, Y," Master the Market With Confidence, Discipline and a Winning Attitude",Trading in the Zone,https://www.bookswagon.com/book/trading-in-zone-mark-douglas/9780735201446, 544 gr, 158 mm
"Bagrecha, Ashish", PAPERBACK,"Home::Parenting, Family & Health",, 47 mm, 9356290814, 9789356290815, ENGLISH, 264,₹194,, 05 Jul 2022,,,"Dear Stranger, You Deserve To Be Loved",https://www.bookswagon.com/book/dear-stranger-you-deserve-loved/9789356290815,, 254 mm
Upinder Singh, Paperback,Home::General,,, 8131774740, 9788131774748, Hindi, 728,₹658, Pearson India, 30 Sep 2016,,,History of Ancient India  (Hindi),https://www.bookswagon.com/book/history-ancient-india-hindi-upinder/9788131774748,,
Wonder House Books, Box Set,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: things that go",, 9.5 mm, 938917841X, 9789389178418, English, 220,₹586, Wonder House Books, 01 Jan 2019, Y, Boxset of 10 Board Books for Kids,My First English Hindi Learning Library: Boxset of 10 Board Books For Kids,https://www.bookswagon.com/book/my-first-english-hindi-learning/9789389178418, 805 gr, 10.4 mm
Jeff Kinney , Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Sporting stories (children’s/ya),, 129 mm, 0241344271, 9780241344279, English,,₹270, Penguin Books Ltd, 18 Sep 2018,,,Diary of a Wimpy Kid: The Getaway (book 12),https://www.bookswagon.com/book/diary-wimpy-kid-jeff-kinney/9780241344279, 168 gr, 196 mm
Zenobia Panthaki, Hardback,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military", 19, 279 mm, 9383098309, 9789383098309, English, 214,₹987, Niyogi Books, 15 Oct 2014, N, The Man and His Times,Field Marshal Sam Manekeshaw,https://www.bookswagon.com/book/field-marshal-sam-manekeshaw-zenobia/9789383098309, 1155 gr, 218 mm
Philippa Perry, Paperback,Home::Medicine::Other branches of medicine::Clinical psychology::Psychotherapy,, 198 mm, 0241251028, 9780241251027,, 256,₹425, Penguin Books Ltd, 31 Dec 2020,,,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),https://www.bookswagon.com/book/book-wish-parents-had-read/9780241251027, 195 gr, 129 mm
B. Uma Maheswari|R. Sujatha, Paperback,Home::General,, 100 mm, 9354640508, 9789354640506, English,,₹576, Wiley, 01 Oct 2021,,,Introduction to Data Science: Practical Approach with R and Python,https://www.bookswagon.com/book/introduction-data-science-b-uma/9789354640506,, 100 mm
Wonder House Books, Paperback,Home::General,, 1.5 mm, 9390183596, 9789390183593, English, 16,₹119, Wonder House Books, 12 Aug 2020,,,Let's be a Unicorn - Reusable Wipe And Clean Activity Book: With 15 Wipe And Clean Sheets,https://www.bookswagon.com/book/lets-unicorn-reusable-wipe-clean/9789390183593, 130 gr, 27.6 mm
"Maas, Sarah J.", Paperback,Home::General,,, 152664116X, 9781526641168, English, 448,₹425, Bloomsbury Publishing, 16 Feb 2021,,,A Court of Thorns and Roses,https://www.bookswagon.com/book/court-thorns-roses-maas-sarah/9781526641168,,
Mark Wolynn, Paperback,Home::Medicine::Other branches of medicine::Clinical psychology::Psychotherapy, 20, 211 mm, 1101980389, 9781101980385, English, 256,₹827, Penguin Books, 25 Apr 2017, Y, How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,It Didn't Start with You,https://www.bookswagon.com/book/it-didnt-start-you-mark/9781101980385, 236 gr, 137 mm
Vasudha Rai, Paperback,Home::Lifestyle::Lifestyle & personal style guides,, 188 mm, 0143452932, 9780143452935, English, 288,₹239, Penguin Random House India Pvt. Ltd, 24 Oct 2022, Y," Daily Practices for Wellness, Beauty & Bliss",Ritual,https://www.bookswagon.com/book/ritual-vasudha-rai/9780143452935, 227 gr, 135 mm
Wonder House Books, Paperback,Home::General,, 0.4 mm, 9389567254, 9789389567250, English, 32,₹119, Wonder House Books, 14 Oct 2019,,,Make It Sparkle - Sticker Book For Kids (Shimmer And Shine),https://www.bookswagon.com/book/make-it-sparkle-sticker-book/9789389567250, 105 gr, 21.5 mm
"Laxmikanth, M", Paperback,Home::General,, 40 mm, 9354601448, 9789354601446, English, 416,₹493, McGraw Hill, 30 Aug 2021,,,Objective Indian Polity for Civil Services Preliminary Examination | 2nd Edition,https://www.bookswagon.com/book/objective-indian-polity-civil-services/9789354601446,, 140 mm
Viktor E Frankl, Hardback,Home::General, 50, 216 mm, 1846042844, 9781846042843, English, 176,₹489, Ebury Publishing, 20 Jan 2011, Y,,Man's Search For Meaning,https://www.bookswagon.com/book/mans-search-meaning-e-viktor/9781846042843, 282 gr, 143 mm
Wonder House Books, Board book,Home::Children & Teens,,, 9354401430, 9789354401435, English, 10,₹77, Wonder House Books, 24 Nov 2021,,,My First Shaped Board Book: Illustrated Lord Ganesha Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),https://www.bookswagon.com/book/my-first-shaped-board-book/9789354401435,, 165 mm
"Jennings, Karen", Paperback,Home::General,, 198 mm, 9389104203, 9789389104202, English, 192,₹284, MacMillan, 06 Sep 2021,,,An Island: Longlisted for the 2021 Booker Prize,https://www.bookswagon.com/book/sland-jennings-karen/9789389104202,,
V.K. Mehta, Paperback,Home::Technology & Engineering::Energy technology & engineering::Electrical engineering::Power generation & distribution,, 250 mm, 8121920973, 9788121920971, English, 712,₹676, S Chand & Co Ltd, 30 Nov 2004,,,Objective Electrical Technology,https://www.bookswagon.com/book/objective-electrical-technology-vk-mehta/9788121920971,, 160 mm
"Goleman, Daniel", Paperback,Home::General,, 150 mm, 9354352804, 9789354352805, English, 352,₹339, Bloomsbury India, 30 Mar 2021,,,Emotional Intelligence: Why It Can Matter More Than IQ,https://www.bookswagon.com/book/emotional-intelligence-goleman-daniel/9789354352805,, 1290 mm
Nidhi Upadhyay, Paperback,Home::Fiction::Thriller / suspense,, 200 mm, 0143451871, 9780143451877, English, 288,₹205, Penguin Random House India Pvt. Ltd, 01 Aug 2021, Y, Four Friends. Twenty Years. One Haunting Secret.,That Night,https://www.bookswagon.com/book/that-night-nidhi-upadhyay/9780143451877, 217 gr, 133 mm
Geronimo Stilton, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya)::Thrillers (children’s/ya), 13, 194 mm, 0545103746, 9780545103749, English, 128,₹231, Scholastic Paperbacks, 01 Jul 2011, Y,,The Haunted Castle (Geronimo Stilton #46),https://www.bookswagon.com/book/haunted-castle-geronimo-stilton-46/9780545103749, 154 gr, 133 mm
"Benjamin Franklin
", PAPERBACK,"Home::Biographies & Memoirs::Biography: general::Biography: historical, political & military",, 197 mm, 8175993286, 9788175993280, ENGLISH, 240,₹119, Fingerprint! Publishing," Dec,2015", Y,,The Autobiography OfBenjamin Franklin,https://www.bookswagon.com/book/autobiography-ofbenjamin-franklin-franklin-benjamin/9788175993280, 136 gr, 127 mm
Helen Joseph Armstrong, Paperback,Home::General,,, 9332518114, 9789332518117, English, 920,"₹1,055", Pearson Education, 2013,,,Patternmaking for Fashion Design,https://www.bookswagon.com/book/patternmaking-fashion-design-helen-joseph/9789332518117, 3091 gr,
Jennifer Lynn Barnes, Paperback,Home::Children & Teens::Children’s & young adult fiction & true stories::Adventure stories (children’s/ya)::Thrillers (children’s/ya),, 198 mm, 0241480728, 9780241480724, English, 368,₹333, Penguin, 09 Sep 2021,,,The Hawthorne Legacy,https://www.bookswagon.com/book/hawthorne-legacy-barnes-jennifer-lynn/9780241480724, 245 gr, 197 mm
 Ruskin Bond, Paperback,Home::Children & Teens::Educational material::Educational: english language & literacy::Educational: english language: readers & reading schemes,, 250 mm, 0143461001, 9780143461005, English, 216,₹239, Penguin Random House India Pvt. Ltd, 05 Sep 2023, Y,,All-Time Favourite Nature Stories,https://www.bookswagon.com/book/alltime-favourite-nature-stories-ruskin/9780143461005,, 200 mm
Napoleon Hill , Hardcover,Home::General,, 2.1 mm, 9389717426, 9789389717426, English, 336,₹425, Fingerprint! Publishing, 01 Dec 2019,,,Think and Grow Rich (Deluxe Hardbound Edition),https://www.bookswagon.com/book/think-grow-rich-deluxe-hardbound/9789389717426, 550 gr, 14.6 mm
Malhotra Rajiv, HARDBACK,Home::History & Humanities::History::Regional & national history::African history, 52, 237 mm, 8191067374, 9788191067378,, 665,₹689, Amaryllis, 04/2011,,,Breaking India: Western Interventions in Dravidian and Dalit Faultlines,https://www.bookswagon.com/book/breaking-india-malhotra-rajiv-arvindan/9788191067378, 990 gr, 167 mm
Vishwas Nangre Patil, Paperback,Home::Biographies & Memoirs::Biography: general::Biography: business & industry,, 47 mm, 9394407812, 9789394407817, English, 296,₹194, HarperCollins India, 18 Jun 2022,,,Win All Your Battles,https://www.bookswagon.com/book/win-all-your-battles-vishwas/9789394407817,, 254 mm
"Zachary Crees, Cassandra Fritz, Alonso Heudebert, Jonas Noé, Arvind Rengarajan, Xiaowen Wang", Paperback,Home::General,, 17 mm, 938985976X, 9789389859768, English, 1378,"₹1,221", Wolters Kluwer India Pvt Ltd., 01 Oct 2021,,,The Washington Manual of Medical Therapeutics (SAE),https://www.bookswagon.com/book/washington-manual-medical-therapeutics-sae/9789389859768,, 133 mm
R. Nageswara Rao, Paperback,Home::General,, 100 mm, 9390457157, 9789390457151, English, 792,₹613, Dreamtech Press, 01 Sep 2021,,,"Core Python Programming, 3ed: Covers fundamentals to advanced topics like OOPS, Exceptions, Data structures, Files, Threads, Net",https://www.bookswagon.com/book/core-python-programming-3ed-r/9789390457151,, 100 mm
 Agatha Christie, Paperback,Home::General, 21, 198 mm, 0008196672, 9780008196677,, 176,₹259, HarperCollins Publishers, 18 May 2017, Y,,The Unexpected Guest,https://www.bookswagon.com/book/unexpected-guest-agatha-christie/9780008196677, 130 gr, 130 mm
"Agrawal, Anubhav", Paperback,"Home::Parenting, Family & Health",, 47 mm, 935629111X, 9789356291119, English, 240,₹163, HarperCollins India, 07 Jul 2022,,,Mindf**ked : When Itâ€™s 4 a.m. and You Canâ€™t Stop Overthinking (Hinglish Edition),https://www.bookswagon.com/book/mindfked-agrawal-anubhav/9789356291119, 250 gr, 254 mm
Au, Paperback,"Home::Parenting, Family & Health::Self Help & Personal Development::Personal finance",, 132 mm, 1471148610, 9781471148613,, 688,₹365, Simon & Schuster Ltd, 06 Oct 2016, Y,,Money Master the Game,https://www.bookswagon.com/book/money-master-game-au-tony/9781471148613, 464 gr, 199 mm
Wonder House Books, Paperback,Home::General,, 1.0 mm, 9388810619, 9789388810616, English, 16,₹119, Wonder House Books, 25 Jun 2019,,,Reusable Wipe And Clean Book - Capital Letters : Write And Practice Capital Letters,https://www.bookswagon.com/book/reusable-wipe-clean-book-capital/9789388810616, 110 gr, 21.1 mm
First Edition, Paperback,Home::General,, 20 mm, 9388810376, 9789388810371, English, 160,₹95, Wonder House Books, 20 May 2019, Y, Biographies of Inspirational Personalities for Kids,World's Greatest Entrepreneurs: Biographies of Inspiratiol Persolities For Kids Paperback â€“ 20 May 2019,https://www.bookswagon.com/book/worlds-greatest-entrepreneurs-first-edition/9789388810371,, 14 mm
Wonder House Books, Paperback,Home::Children & Teens::Educational material::Educational: english language & literacy::Educational: english language: reading & writing skills,, 0.8 mm, 9390183766, 9789390183760, English, 32,₹107, Wonder House Books, 25 Oct 2020, Y, Practice Workbook for Children,Cursive Handwriting - Word Family: Practice Workbook For Children,https://www.bookswagon.com/book/cursive-handwriting-word-family-wonder/9789390183760, 700 gr, 27.6 mm
Wonder House Books, Paperback,"Home::Children & Teens::Picture books,  activity books & early learning material::Early learning / early learning concepts::Early learning: colours",, 0.2 mm, 9387779718, 9789387779716, English, 16,₹35, Wonder House Books, 10 Jun 2018, Y, Crayon Copy Colour Books,Colouring Book of Animals: Creative Crayons Series - Crayon Copy Colour Books,https://www.bookswagon.com/book/colouring-book-animals-wonder-house/9789387779716, 110 gr, 21.5 mm
NA, Paperback,Home::General,, 203 mm, 939044117X, 9789390441174, English, 200,₹251, Srishti Publishers & Distributors,,,,The Hero Of Tiger Hill: Autobiography Of A Param Vir,https://www.bookswagon.com/book/hero-tiger-hill-na/9789390441174, 231 gr,
Matthew Walker, Paperback,"Home::Parenting, Family & Health::Family & health",, 129 mm, 0141983760, 9780141983769, English, 344,₹425, Penguin, 04 Jan 2018,,,Why We Sleep,https://www.bookswagon.com/book/why-we-sleep-matthew-walker/9780141983769, 267 gr, 196 mm
Maheshwari, Paperback,Home::Medicine::Surgery,, 279 mm, 9354653766, 9789354653766, English, 396,₹716, JAYPEE BROTHERS MEDICAL PUBLISHERS PVT.LTD, 01 Jan 2022,,,Essential Orthopaedics,https://www.bookswagon.com/book/essential-orthopaedics-maheshwarimhaskar/9789354653766,, 216 mm
 Nelson, Paperback,Home::General,,, 8131262170, 9788131262177, English, 340,"₹1,074", Elsevier Health Sciences, 13 Jul 2020,,,"Wheeler's Dental Anatomy, Physiology and Occlusion, 11e, South Asia Edition",https://www.bookswagon.com/book/wheelers-dental-anatomy-physiology-occlusion/9788131262177,,
Amruta Patil, Paperback,Home::Fiction::Graphic novels, 29, 229 mm, 8172237103, 9788172237103, English, 124,₹454, HarperCollins, 17 Apr 2018, Y,,Kari,https://www.bookswagon.com/book/kari-amruta-patil/9788172237103, 294 gr, 155 mm
R Sreevani, Paperback,Home::Medicine::Nursing & ancillary services,, 241 mm, 9354654932, 9789354654930, English, 261,₹541, Jaypee, 01 Jan 2022,,,Applied Psychology for Nurses,https://www.bookswagon.com/book/applied-psychology-nurses-sreevani-r/9789354654930, 421 gr, 171 mm
Kahlil Gibran, Paperback,Home::General,, 1.0 mm, 9389567459, 9789389567458, Tamil, 136,₹77, Fingerprint! Publishing, 01 Oct 2019,,,The Prophet (Tamil),https://www.bookswagon.com/book/prophet-tamil-kahlil-gibran/9789389567458, 110 gr, 12.7 mm
David Grann, Paperback,Home::Biographies & Memoirs::True stories::True crime,, 130 mm, 0857209035, 9780857209030,, 352,₹365, Simon & Schuster Ltd, 05 Apr 2018, Y,,Killers of the Flower Moon,https://www.bookswagon.com/book/killers-flower-moon-david-grann/9780857209030, 284 gr, 197 mm
Nicolo Machiavelli, Paperback,Home::Society & social sciences::Politics & Current Events::Political science & theory,, 1.8 mm, 9388144384, 9789388144384, English, 244,₹77, Fingerprint! Publishing, 01 Aug 2018, Y, Pocket Classics,The Prince (Pocket Classics),https://www.bookswagon.com/book/prince-pocket-classics-nicolo-niccol%C3%B2/9789388144384, 110 gr, 10.2 mm
 William Shakespeare, PAPERBACK,Home::Art & Photography::Theatre studies,, 197 mm, 8175992921, 9788175992924, ENGLISH, 200,₹107," Fingerprint!
Publishing", 2015, Y,,Hamlet,https://www.bookswagon.com/book/hamlet-william-shakespeare/9788175992924,, 127 mm
Richard Dawkins, Paperback,"Home::Science & Mathematics::Biology, life sciences::Life sciences: general issues::Genetics (non-medical)", 32, 193 mm, 0198788606, 9780198788607, English, 544,₹427," Oxford University Press, USA", 01 Aug 2016, Y, 40th Anniversary Edition,Selfish Gene,https://www.bookswagon.com/book/selfish-gene-dawkins-richard-emeritus/9780198788607, 434 gr, 130 mm
Singh , Paperback,Home::Medicine::Pre-clinical medicine: basic sciences::Anatomy::Cytology,, 39.99992 mm, 8131261352, 9788131261354, English, 290,₹562, Elsevier Health Science, 01 Jan 2020,,,Textbook of Clinical Neuroanatomy,https://www.bookswagon.com/book/textbook-clinical-neuroanatomy-vishram-1/9788131261354,, 139.99972 mm
Christopher W Mayer, Paperback,Home::Business & Economics::Finance & accounting::Finance::Investment & securities,, 229 mm, 9391560555, 9789391560553, English, 226,₹259, Sanage Publishing House, 01 Jan 2022, N, Stocks That Return 100-to-1 and How To Find Them,100 Baggers: Stocks That Return 100-to-1 and How To Find Them,https://www.bookswagon.com/book/100-baggers-w-christopher-w/9789391560553, 340 gr, 152 mm
"Chandra, Bipan", Paperback,Home::General,, 215.999568 mm, 9390122635, 9789390122639, Hindi, 376,₹340, Jaypee Brothers Medical Publishers, 26 Jul 2020,,,Adhunik Bharat ka Itihas,https://www.bookswagon.com/book/adhunik-bharat-ka-itihas-chandra/9789390122639,, 17.999964 mm
Dreamland Publications, Paperback,Home::General,,, 9386671956, 9789386671950, English, 48,₹120, Dreamland Publications, 01 Oct 2021,,,Nail Art and Hair Style- Create and Colour Your Own Nail Art with 150 Glitter Stickers,https://www.bookswagon.com/book/hair-style-create-colour-your/9789386671950,, 220 mm
"Laxmikanth, M", Paperback,Home::General,, 39.99992 mm, 939049172X, 9789390491728, English, 520,₹518,,,,,Governance in India | 3rd Edition | For Civil Services Preliminary (GS -I) and Main (GS - II) Examinations,https://www.bookswagon.com/book/governance-in-india-3rd-edition/9789390491728,, 139.99972 mm
 Arthur Conan Doyle, Paperback,Home::Fiction::Classic fiction,, 197 mm, 9354402194, 9789354402197, English, 256,₹119, Fingerprint! Publishing, 01 May 2021, Y,,The Lost World,https://www.bookswagon.com/book/lost-world-arthur-conan-doyle/9789354402197,, 16 mm
